id,date,age,gender,city,employment,marital_status,income,years_experience,education_years,credit_score,debt,savings,study_hours,sleep_hours,attendance_pct,screen_time_hours,exercise_days_per_week,projects_completed,social_media_hours,internet_usage,previous_score,lifestyle_score,loan_approved,annual_salary
774,2025-02-12,18,Female,Lalitpur,Unemployed,Single,22976.0,0.0,15.3,,1270.0,11253.0,3.8,6.3,,7.0,7,2,2.5,Medium,52.1,50.36,No,250000.0
430,2024-03-05,46,Male,Biratnagar,Employed,Single,32085.0,21.1,,693.0,8264.0,33362.0,,6.3,84.6,6.9,5,3,5.9,,94.7,43.34,No,250000.0
211,2023-07-30,50,Female,Biratnagar,Employed,Single,72294.0,33.5,13.0,660.0,22117.0,94784.0,4.6,7.7,86.6,4.0,5,2,3.4,Medium,89.4,70.6,No,250000.0
236,2023-08-24,45,Male,Bhaktapur,Employed,Single,26308.0,19.2,16.0,626.0,9601.0,16438.0,4.6,7.7,87.0,7.8,3,2,3.8,High,61.0,57.61,No,250000.0
994,2025-09-20,53,Female,Biratnagar,Employed,Single,51462.0,20.6,16.0,758.0,26188.0,44916.0,2.6,6.8,82.4,2.1,6,5,0.0,High,62.5,62.18,No,250000.0
876,2025-05-25,49,Female,Lalitpur,Employed,Married,34043.0,25.8,15.1,740.0,11126.0,1147.0,5.0,6.7,94.8,5.8,1,1,1.1,High,42.3,47.8,No,250000.0
44,2023-02-13,54,Male,Lalitpur,Self-employed,Married,71105.0,27.2,14.2,682.0,22295.0,67679.0,3.2,6.8,87.3,5.7,0,2,2.2,High,86.3,48.15,No,250000.0
712,2024-12-12,65,Male,Kathmandu,Employed,Single,106053.0,37.2,14.7,645.0,15459.0,68479.0,9.2,4.8,81.4,6.7,4,3,6.2,Low,71.6,66.87,No,250000.0
995,2025-09-21,18,Female,Lalitpur,Employed,Single,78080.0,0.0,15.2,625.0,21101.0,75244.0,2.2,5.1,62.0,6.9,6,2,2.2,Medium,33.7,43.34,No,250000.0
274,2023-10-01,36,Male,Pokhara,Employed,Single,42163.0,13.0,11.8,719.0,25617.0,1742.0,6.0,9.0,,4.6,0,2,3.7,Medium,71.0,49.83,No,250000.0
688,2024-11-18,28,Female,Bhaktapur,Unemployed,Divorced,49437.0,4.2,15.0,468.0,23942.0,18659.0,11.0,6.6,91.4,3.6,3,4,0.6,High,68.4,70.67,No,250000.0
432,2024-03-07,43,Female,Lalitpur,Self-employed,Divorced,32443.0,23.9,16.3,695.0,18319.0,32193.0,2.2,7.3,94.8,5.6,3,1,4.3,Medium,88.0,53.02,No,250000.0
353,2023-12-19,65,Female,Lalitpur,Employed,Single,52694.0,45.0,16.4,582.0,22036.0,29247.0,6.0,8.1,98.0,4.9,0,4,3.1,Medium,82.7,57.69,Yes,250000.0
533,2024-06-16,69,Female,Pokhara,Employed,Single,113723.0,45.0,11.8,677.0,37784.0,114062.0,8.5,8.2,88.4,3.1,0,3,2.5,High,68.9,62.24,No,250000.0
314,2023-11-10,20,Male,Butwal,Student,Single,33540.0,0.0,18.3,717.0,11429.0,14824.0,6.5,6.8,81.9,1.9,3,2,5.9,Medium,68.3,63.34,No,250000.0
388,2024-01-23,52,Male,Lalitpur,Employed,Married,75689.0,32.0,18.0,656.0,17193.0,53976.0,8.4,9.1,57.1,4.8,3,8,1.4,Medium,91.2,62.94,No,250000.0
132,2023-05-12,50,Male,Pokhara,Employed,Single,50583.0,23.1,11.5,,15591.0,42512.0,6.9,9.2,98.6,6.7,1,2,1.5,Medium,85.2,63.75,Yes,250000.0
271,2023-09-28,36,Male,Chitwan,Student,Married,35744.0,15.2,17.0,680.0,14054.0,28671.0,,6.2,59.9,5.6,2,6,5.4,Low,67.0,30.56,No,250000.0
8,2023-01-08,56,Female,Pokhara,Employed,Married,29230.0,29.7,11.6,694.0,10404.0,1948.0,6.7,7.0,73.9,4.8,4,5,1.2,High,64.9,64.11,Yes,250000.0
725,2024-12-25,36,Female,Kathmandu,Employed,Single,51562.0,15.0,14.2,732.0,13046.0,26134.0,6.1,6.9,,4.7,3,1,4.5,High,72.2,61.09,Yes,250000.0
755,2025-01-24,49,Male,Pokhara,Self-employed,Single,33307.0,23.4,12.8,786.0,1830.0,4418.0,5.0,7.4,82.7,2.5,2,5,4.3,Medium,63.8,63.68,Yes,250000.0
347,2023-12-13,37,Male,Chitwan,Employed,Single,44403.0,13.0,11.5,606.0,15478.0,36186.0,3.2,4.7,50.7,6.9,7,4,3.8,High,77.8,39.53,Yes,250000.0
778,2025-02-16,40,Non-binary,Chitwan,Employed,Divorced,76526.0,13.5,8.9,681.0,46369.0,78320.0,5.0,5.9,74.7,7.0,5,4,3.3,High,52.9,56.92,No,250000.0
962,2025-08-19,68,Male,Kathmandu,Self-employed,Single,29318.0,41.3,12.1,692.0,10089.0,5476.0,0.9,6.5,63.9,8.6,1,4,4.4,High,58.8,31.69,No,250000.0
201,2023-07-20,69,Male,Bhaktapur,Student,Single,88135.0,44.1,8.0,686.0,30725.0,84504.0,5.4,7.2,100.0,3.8,6,2,5.0,Low,59.9,77.63,No,250000.0
817,2025-03-27,22,Female,Butwal,Employed,Married,33240.0,0.0,15.5,757.0,5841.0,20637.0,6.6,7.1,75.3,5.2,2,3,2.5,High,57.0,49.91,Yes,250000.0
272,2023-09-29,43,Male,Butwal,Employed,Single,100170.0,23.5,15.5,768.0,7752.0,79218.0,5.1,6.3,59.2,7.4,6,2,4.5,High,76.4,44.82,Yes,250000.0
598,2024-08-20,25,Female,Kathmandu,Employed,Married,38166.0,13.3,13.9,663.0,5766.0,13552.0,5.1,10.0,81.7,6.3,7,2,2.5,High,81.6,69.42,No,250000.0
759,2025-01-28,33,Male,Butwal,Employed,Single,112890.0,2.5,10.8,634.0,58414.0,28241.0,2.7,6.1,91.0,3.3,6,3,5.0,Medium,65.9,64.63,Yes,250000.0
745,2025-01-14,30,Female,Pokhara,Student,Single,59335.0,12.2,12.7,718.0,7909.0,18421.0,6.7,5.9,91.9,1.0,2,1,1.5,Medium,66.0,59.12,No,250000.0
699,2024-11-29,30,Female,Bhaktapur,Unemployed,Single,23038.0,1.3,14.9,661.0,6362.0,9338.0,6.8,7.0,83.4,3.1,3,2,2.4,Medium,64.8,66.5,Yes,250000.0
975,2025-09-01,29,Non-binary,Kathmandu,Employed,Married,22736.0,0.0,16.1,646.0,0.0,12537.0,9.2,8.1,,5.9,5,2,0.9,High,66.0,71.29,No,250000.0
262,2023-09-19,33,Male,Bhaktapur,Employed,Married,31540.0,4.6,17.4,541.0,3505.0,13935.0,6.8,6.6,85.1,6.4,7,2,2.1,Medium,71.4,67.05,No,250000.0
704,2024-12-04,44,Male,Kathmandu,Employed,Divorced,24438.0,18.6,14.8,842.0,10176.0,10431.0,5.1,5.0,76.9,6.5,3,3,2.8,Medium,55.1,54.6,No,250000.0
792,2025-03-02,53,Male,Butwal,Student,Married,49178.0,28.7,14.4,711.0,,12749.0,9.0,7.3,60.3,4.8,5,3,3.0,Low,83.1,66.11,No,250000.0
165,2023-06-14,69,Male,Butwal,Student,Married,30314.0,45.0,13.6,662.0,14668.0,4808.0,3.0,6.8,97.3,5.3,6,3,1.7,Medium,63.8,69.82,No,250000.0
930,2025-07-18,34,Male,Biratnagar,Employed,Married,88405.0,0.0,14.4,783.0,16992.0,40926.0,5.4,6.5,86.4,7.4,6,7,4.5,Medium,78.4,53.8,No,250000.0
345,2023-12-11,38,Male,Lalitpur,Self-employed,Single,64018.0,10.3,17.7,601.0,33755.0,47218.0,2.6,7.0,60.9,6.7,5,3,5.2,Medium,57.7,54.44,Yes,250000.0
668,2024-10-29,29,Female,Kathmandu,Employed,Single,75805.0,3.4,16.0,672.0,6238.0,48904.0,4.7,7.4,89.8,2.8,2,4,4.6,High,68.8,50.94,No,250000.0
380,2024-01-15,34,Female,Bhaktapur,Employed,Single,19722.0,12.8,10.6,593.0,4494.0,30021.0,6.3,9.7,83.2,7.0,7,6,1.2,Medium,36.6,74.12,No,250000.0
438,2024-03-13,24,Female,Butwal,Employed,Single,39515.0,5.1,14.3,724.0,2829.0,20952.0,2.6,8.5,85.3,10.2,7,3,0.7,Medium,68.2,61.5,No,250000.0
352,2023-12-18,50,Male,Chitwan,Employed,Divorced,40295.0,26.8,11.7,733.0,15167.0,39734.0,5.6,5.9,,6.4,6,1,1.4,Low,60.9,60.92,No,250000.0
197,2023-07-16,56,Female,Lalitpur,Employed,Married,28528.0,26.7,13.8,641.0,16602.0,18335.0,1.8,7.9,92.8,6.1,5,4,1.0,Medium,65.6,64.34,Yes,250000.0
601,2024-08-23,27,Male,Biratnagar,Employed,Divorced,131595.0,8.6,14.8,745.0,27350.0,141719.0,13.4,6.9,74.0,5.7,0,2,4.5,Medium,73.3,66.63,No,250000.0
189,2023-07-08,45,Female,Butwal,Self-employed,Single,171242.0,16.5,15.9,726.0,82068.0,192552.0,2.5,7.1,74.9,6.8,1,4,2.6,Medium,63.2,42.73,Yes,250000.0
483,2024-04-27,57,Female,Chitwan,Employed,Married,41172.0,34.7,19.0,639.0,21209.0,36258.0,5.1,6.8,100.0,6.0,3,3,6.1,Medium,29.9,54.41,No,250000.0
135,2023-05-15,41,Female,Lalitpur,Employed,Married,27802.0,21.5,13.9,744.0,14177.0,29360.0,7.1,8.2,82.0,6.0,7,2,4.0,Medium,98.1,65.49,Yes,250000.0
104,2023-04-14,32,Female,Chitwan,Employed,Single,80365.0,8.5,12.1,695.0,23704.0,63539.0,3.4,7.3,98.7,7.6,3,5,4.4,Medium,57.9,63.69,Yes,250000.0
988,2025-09-14,64,Male,Bhaktapur,Employed,Divorced,44027.0,33.8,12.3,575.0,10462.0,24465.0,5.3,5.5,92.4,5.9,1,6,4.0,High,48.3,57.08,Yes,250000.0
992,2025-09-18,34,Male,Lalitpur,Employed,Married,71906.0,13.4,8.7,625.0,187.0,57750.0,5.2,8.6,91.8,8.5,6,1,2.5,Medium,75.6,69.45,No,250000.0
907,2025-06-25,67,Female,Pokhara,Student,Divorced,67320.0,40.5,12.4,690.0,26405.0,66316.0,6.6,7.0,79.5,6.1,5,2,2.4,Low,84.4,66.62,No,250000.0
548,2024-07-01,22,Male,Kathmandu,Employed,Single,220000.0,2.0,13.2,590.0,67954.0,119331.0,5.7,8.2,100.0,3.4,7,1,0.8,High,72.9,80.11,No,250000.0
173,2023-06-22,32,Male,Pokhara,Self-employed,Married,,3.1,13.7,703.0,34683.0,0.0,8.1,7.8,85.9,4.8,5,3,5.3,Medium,57.9,69.54,No,250000.0
299,2023-10-26,69,Male,Kathmandu,Employed,Married,37992.0,45.0,,761.0,26099.0,3853.0,5.9,8.3,,1.9,2,1,3.0,High,69.6,70.07,No,250000.0
537,2024-06-20,43,Male,Biratnagar,Employed,Divorced,165566.0,15.1,12.0,746.0,98212.0,59319.0,6.6,6.4,79.6,5.0,7,4,3.0,Medium,69.8,66.71,Yes,250000.0
240,2023-08-28,50,Male,Biratnagar,Employed,Divorced,21503.0,25.4,15.6,700.0,,18627.0,12.0,9.3,90.7,3.5,3,3,3.8,Medium,88.4,83.23,No,250000.0
253,2023-09-10,55,Female,Biratnagar,Employed,Single,94384.0,29.1,11.9,688.0,3998.0,69152.0,17.9,5.6,94.4,5.1,5,2,4.0,Medium,57.3,89.23,No,250000.0
458,2024-04-02,42,Male,Chitwan,Employed,Married,85449.0,10.6,18.5,,50003.0,35537.0,2.2,8.0,77.4,4.7,1,0,3.9,Medium,73.0,47.97,Yes,250000.0
937,2025-07-25,19,Female,Kathmandu,Employed,Married,24891.0,0.0,14.3,697.0,15401.0,25720.0,3.9,5.5,82.0,3.3,5,1,2.5,Medium,64.2,65.37,No,250000.0
974,2025-08-31,58,Female,Chitwan,Employed,Single,18067.0,28.8,,642.0,8315.0,14490.0,4.0,7.5,51.8,7.7,7,3,2.8,Medium,81.2,60.61,Yes,250000.0
379,2024-01-14,66,Male,Kathmandu,Employed,Married,47454.0,43.1,16.0,731.0,21427.0,16719.0,5.5,7.9,67.8,7.1,5,6,1.1,Medium,77.9,58.56,Yes,250000.0
321,2023-11-17,66,Male,Bhaktapur,Employed,Divorced,94910.0,44.0,15.9,578.0,25836.0,102849.0,5.5,6.1,69.4,4.2,0,7,0.2,Low,49.8,37.45,Yes,250000.0
830,2025-04-09,64,Female,Chitwan,Unemployed,Single,51925.0,43.1,13.3,,37650.0,10235.0,10.6,6.6,80.3,2.2,3,2,3.8,High,100.0,71.63,Yes,250000.0
146,2023-05-26,64,Male,Biratnagar,Employed,Single,21314.0,40.8,15.3,636.0,19234.0,13662.0,9.4,7.5,77.7,3.6,0,3,2.6,Medium,65.4,51.72,No,250000.0
773,2025-02-11,48,Female,Kathmandu,Self-employed,Single,20414.0,31.9,12.6,674.0,3220.0,6770.0,2.2,5.5,92.4,6.3,7,4,3.8,Medium,72.1,56.24,No,250000.0
400,2024-02-04,38,Male,Butwal,Self-employed,Single,76925.0,15.9,13.3,684.0,19388.0,51858.0,3.7,6.1,100.0,5.8,7,4,3.2,High,57.9,60.89,No,250000.0
389,2024-01-24,58,Female,Pokhara,Employed,Divorced,,30.1,,751.0,20636.0,30252.0,2.3,8.0,68.6,6.5,2,1,2.1,High,69.3,41.71,Yes,250000.0
319,2023-11-15,69,Male,Biratnagar,Employed,Married,40473.0,44.0,13.5,670.0,28189.0,59571.0,5.2,6.0,99.5,6.2,0,1,3.7,Medium,85.2,56.02,No,250000.0
656,2024-10-17,26,Female,Pokhara,Self-employed,Single,24417.0,1.4,16.4,717.0,16494.0,19868.0,4.3,7.9,58.6,1.0,2,0,5.9,High,100.0,54.73,Yes,250000.0
997,2025-09-23,66,Male,Chitwan,Self-employed,Single,23346.0,42.4,13.4,651.0,15849.0,10191.0,5.8,7.4,96.1,8.1,4,2,4.9,High,55.2,58.26,No,250000.0
862,2025-05-11,36,Male,Bhaktapur,Unemployed,Married,19936.0,14.0,14.2,620.0,4457.0,22324.0,15.5,7.4,74.1,4.8,1,5,4.4,High,53.1,88.49,No,250000.0
592,2024-08-14,68,Male,Bhaktapur,Self-employed,Single,18398.0,41.1,11.6,635.0,0.0,13325.0,4.3,6.8,100.0,5.9,0,1,2.2,Medium,68.7,59.51,No,250000.0
664,2024-10-25,33,Non-binary,Pokhara,Student,Single,41691.0,5.0,15.6,657.0,23699.0,22750.0,10.7,6.3,58.5,4.1,7,2,1.5,Medium,81.4,72.24,No,250000.0
952,2025-08-09,57,Male,Chitwan,Employed,Married,36704.0,33.0,11.9,652.0,10298.0,29792.0,10.9,7.6,85.3,6.2,3,6,3.6,High,65.6,73.21,Yes,250000.0
418,2024-02-22,19,Male,Kathmandu,Self-employed,Single,26682.0,0.0,14.3,697.0,1462.0,22471.0,5.0,6.4,100.0,5.8,6,4,1.3,High,82.1,68.19,No,250000.0
292,2023-10-19,47,Female,Pokhara,Self-employed,Married,37103.0,14.3,16.3,732.0,19349.0,13822.0,7.2,7.8,67.9,3.3,1,4,1.4,Medium,97.5,53.74,No,250000.0
929,2025-07-17,27,Female,Lalitpur,Employed,Married,69605.0,0.0,14.7,755.0,24466.0,67927.0,3.1,6.9,91.6,5.3,0,1,3.9,Medium,41.4,48.77,Yes,250000.0
867,2025-05-16,63,Female,Kathmandu,Employed,Married,30467.0,39.2,,727.0,5574.0,27827.0,12.0,6.3,82.0,1.1,4,2,3.7,Medium,46.9,84.16,No,250000.0
250,2023-09-07,21,Female,Lalitpur,Employed,Married,63383.0,0.0,14.9,598.0,35488.0,55662.0,1.4,6.2,87.7,9.9,0,3,1.6,Medium,64.5,43.69,No,250000.0
925,2025-07-13,46,Male,Kathmandu,Self-employed,Married,42038.0,13.2,16.1,,4877.0,41211.0,3.5,5.8,89.7,4.2,6,4,1.8,Medium,83.8,64.34,No,250000.0
543,2024-06-26,50,Female,Pokhara,Employed,Single,33017.0,25.2,15.1,744.0,10515.0,17409.0,8.0,6.9,100.0,4.8,5,4,6.0,High,48.9,76.71,Yes,250000.0
457,2024-04-01,68,Male,Pokhara,Employed,Single,47256.0,41.4,13.5,721.0,1960.0,25973.0,8.4,6.4,72.5,5.6,6,1,2.1,High,70.7,65.21,No,250000.0
6,2023-01-06,25,Male,Biratnagar,Student,Married,51704.0,9.4,13.5,662.0,17824.0,23197.0,10.5,6.3,99.3,6.0,1,6,3.9,Medium,84.6,72.63,No,250000.0
903,2025-06-21,56,Male,Pokhara,Student,Married,44750.0,29.7,13.2,769.0,4095.0,34991.0,7.6,6.4,83.9,4.1,0,0,0.6,Medium,78.0,45.72,Yes,250000.0
604,2024-08-26,68,Male,Lalitpur,Student,Single,23970.0,45.0,13.9,657.0,13773.0,1307.0,7.8,7.9,91.0,1.7,6,3,1.3,Low,67.4,81.14,Yes,250000.0
852,2025-05-01,22,Male,Bhaktapur,Employed,Married,48657.0,1.0,14.4,627.0,1279.0,0.0,,7.2,83.1,4.0,6,3,4.1,High,44.9,84.98,No,250000.0
42,2023-02-11,69,Male,Biratnagar,Employed,Single,43193.0,44.1,13.5,736.0,8052.0,8973.0,,7.1,68.1,3.7,4,3,1.7,Medium,62.2,44.7,Yes,250000.0
805,2025-03-15,70,Non-binary,Kathmandu,Employed,Married,70385.0,45.0,14.2,,31550.0,62305.0,2.6,7.9,68.4,1.9,0,4,0.1,High,75.6,42.79,Yes,250000.0
449,2024-03-24,40,Male,Biratnagar,Employed,Married,136713.0,18.8,15.1,717.0,44423.0,42416.0,3.3,5.4,66.0,7.5,0,7,0.7,High,83.9,36.08,Yes,250000.0
183,2023-07-02,19,Female,Bhaktapur,Student,Single,20453.0,0.0,14.1,672.0,14201.0,22364.0,2.2,7.5,90.6,4.3,4,0,2.5,High,79.6,54.78,No,250000.0
484,2024-04-28,69,Male,Butwal,Employed,Married,21520.0,45.0,16.0,732.0,22171.0,3727.0,5.8,6.0,74.8,2.3,4,1,1.7,High,62.7,63.0,Yes,250000.0
157,2023-06-06,32,Male,Chitwan,Employed,Single,71447.0,10.0,15.0,665.0,1124.0,22311.0,9.0,7.3,84.2,3.8,7,1,1.0,High,90.0,75.01,Yes,250000.0
349,2023-12-15,24,Male,Chitwan,Employed,Married,18610.0,5.2,14.7,648.0,6852.0,4934.0,6.3,6.9,90.8,3.0,7,3,3.0,Medium,64.8,71.49,Yes,250000.0
617,2024-09-08,27,Female,Kathmandu,Employed,Single,107540.0,3.6,14.5,789.0,36758.0,12806.0,5.0,7.3,76.4,7.3,4,2,4.1,Medium,63.7,49.35,Yes,250000.0
354,2023-12-20,29,Male,Lalitpur,Employed,Single,14293.0,13.3,16.3,560.0,0.0,7965.0,4.5,7.1,85.0,4.4,6,2,1.8,Medium,48.3,64.03,No,250000.0
822,2025-04-01,47,Non-binary,Bhaktapur,Student,Married,127464.0,14.4,12.3,681.0,60016.0,41113.0,8.7,6.6,76.8,4.6,0,4,3.1,Medium,57.1,54.87,No,250000.0
869,2025-05-18,68,Female,Lalitpur,Self-employed,Single,60846.0,39.2,13.1,668.0,27216.0,18388.0,1.5,7.7,91.4,7.4,3,3,2.1,Medium,49.0,48.89,Yes,250000.0
115,2023-04-25,28,Female,Lalitpur,Unemployed,Married,13092.0,2.7,17.9,694.0,0.0,376.0,1.6,6.7,69.1,4.0,1,2,3.2,Medium,83.7,32.97,Yes,250000.0
678,2024-11-08,70,Female,Butwal,Self-employed,Single,,41.6,12.6,712.0,103901.0,118728.0,5.6,5.6,64.8,7.8,6,4,4.5,Medium,89.5,47.98,Yes,250000.0
230,2023-08-18,54,Female,Chitwan,Employed,Married,78672.0,33.9,15.1,642.0,,57284.0,9.8,7.4,89.7,4.5,7,6,4.6,High,89.1,84.8,Yes,250000.0
336,2023-12-02,19,Male,Kathmandu,Employed,Single,96582.0,0.0,13.5,694.0,22490.0,104059.0,6.4,4.8,69.3,3.2,5,4,0.0,High,87.5,48.9,No,250000.0
36,2023-02-05,45,Male,Kathmandu,Employed,Married,40440.0,26.5,14.2,639.0,9513.0,36076.0,4.8,7.3,86.3,7.0,2,2,4.4,High,72.6,53.61,No,250000.0
853,2025-05-02,55,Female,Butwal,Employed,Married,36637.0,31.7,12.0,660.0,19874.0,37907.0,6.2,9.3,99.6,5.4,6,8,6.4,High,59.3,83.1,No,250000.0
19,2023-01-19,39,Female,Butwal,Self-employed,Married,37125.0,10.8,9.8,650.0,,16568.0,4.6,8.0,87.7,3.5,4,3,4.0,Medium,38.2,72.39,Yes,250000.0
702,2024-12-02,26,Male,Butwal,Employed,Single,42703.0,1.1,12.2,727.0,22887.0,24961.0,8.2,7.5,76.0,7.2,7,2,4.7,Medium,69.6,68.5,No,250000.0
950,2025-08-07,25,Male,Kathmandu,Employed,Single,43711.0,0.0,13.7,604.0,10312.0,8781.0,5.5,6.3,93.8,5.1,4,3,3.1,Medium,74.4,62.33,Yes,250000.0
49,2023-02-18,56,Male,Biratnagar,Self-employed,Single,64006.0,31.0,9.8,615.0,0.0,22279.0,3.5,6.3,100.0,2.5,1,5,2.6,Low,50.9,54.82,No,250000.0
836,2025-04-15,39,Female,Chitwan,Employed,Single,48076.0,13.1,12.1,631.0,10083.0,8866.0,3.4,6.2,71.6,4.0,2,2,1.7,Low,91.4,46.11,No,250000.0
445,2024-03-20,33,Female,Pokhara,Employed,Single,68048.0,9.2,15.1,612.0,16871.0,35949.0,3.7,5.6,74.1,3.8,4,5,0.2,Medium,66.4,50.06,No,250000.0
168,2023-06-17,47,Female,Bhaktapur,Employed,Divorced,31386.0,25.4,17.6,602.0,0.0,27515.0,7.3,5.1,86.1,9.0,0,2,4.1,Medium,71.4,52.34,No,250000.0
148,2023-05-28,20,Female,Butwal,Self-employed,Married,30782.0,2.5,15.3,685.0,8280.0,8318.0,4.5,7.6,85.1,7.5,3,6,3.1,Low,89.4,51.8,No,250000.0
945,2025-08-02,40,Female,Biratnagar,Student,Married,49520.0,12.7,17.1,553.0,28089.0,20350.0,4.4,5.7,76.4,5.6,5,5,1.6,High,56.9,53.62,No,250000.0
615,2024-09-06,38,Female,Chitwan,Employed,Married,82170.0,12.0,14.5,744.0,33495.0,37998.0,10.1,7.8,85.4,4.8,5,1,6.5,Medium,77.1,78.35,Yes,250000.0
578,2024-07-31,29,Female,Biratnagar,Student,Single,90764.0,0.0,11.7,639.0,36414.0,60689.0,8.6,8.0,94.3,1.0,0,0,5.5,High,77.7,70.35,No,250000.0
261,2023-09-18,65,Male,Bhaktapur,Employed,Divorced,35636.0,38.6,17.7,740.0,16894.0,28881.0,1.3,6.7,100.0,6.8,5,1,2.3,High,96.3,59.79,Yes,250000.0
771,2025-02-09,31,Female,Kathmandu,Employed,Married,18345.0,4.8,10.4,682.0,18909.0,14523.0,10.0,8.7,66.8,5.5,2,4,4.1,Medium,66.6,59.56,Yes,250000.0
103,2023-04-13,46,Female,Bhaktapur,Employed,Single,44686.0,23.0,17.8,604.0,7090.0,24833.0,10.4,8.6,93.7,3.7,6,1,4.4,Low,70.6,90.51,Yes,250000.0
53,2023-02-22,31,Male,Lalitpur,Employed,Married,40015.0,2.3,15.2,577.0,9325.0,0.0,8.5,4.9,87.7,8.6,1,2,3.2,High,49.9,50.29,Yes,250000.0
139,2023-05-19,57,Male,Bhaktapur,Student,Married,31867.0,40.0,10.0,598.0,16404.0,20964.0,7.9,9.4,93.9,7.0,0,1,4.5,Medium,61.4,59.35,Yes,250000.0
5,2023-01-05,60,Male,Pokhara,Student,Single,119829.0,32.6,16.1,673.0,59533.0,51914.0,7.3,6.5,99.8,9.1,3,5,5.6,Low,29.7,56.0,Yes,250000.0
932,2025-07-20,41,Female,Biratnagar,Student,Divorced,47392.0,13.4,12.0,716.0,13518.0,30166.0,4.4,4.9,100.0,7.3,2,2,1.8,Low,47.1,52.73,No,250000.0
464,2024-04-08,23,Female,Butwal,Unemployed,Married,37026.0,4.8,13.7,726.0,33283.0,14152.0,6.9,9.1,87.7,3.2,0,5,0.5,High,72.7,60.56,No,250000.0
697,2024-11-27,24,Male,Lalitpur,Student,Single,48317.0,0.0,15.7,,18048.0,37292.0,9.9,8.1,55.8,3.9,3,3,1.6,Low,52.5,53.6,No,250000.0
857,2025-05-06,54,Male,Butwal,Employed,Married,21865.0,35.7,15.4,787.0,7349.0,14454.0,3.1,6.0,68.0,8.3,6,4,3.0,Low,57.0,38.6,Yes,250000.0
642,2024-10-03,34,Male,Biratnagar,Employed,Single,23017.0,11.2,10.7,517.0,1774.0,26106.0,7.8,6.2,75.5,7.7,3,5,2.5,Medium,82.2,50.8,No,250000.0
227,2023-08-15,19,Male,Pokhara,Self-employed,Married,37545.0,3.1,16.1,816.0,25383.0,4279.0,0.9,7.9,80.5,5.7,7,4,2.7,High,80.4,45.09,No,250000.0
